iso_code3,year,time_period,frac_enfu_transmission_loss_fuel_electricity
JAM,2010,-5,0.208796296296296
JAM,2011,-4,0.22010994044892299
JAM,2012,-3,0.259417378201909
JAM,2013,-2,0.27473077886301
JAM,2014,-1,0.267458777885548
JAM,2015,0,0.24610263433913723
JAM,2016,1,0.24610263433913723
JAM,2017,2,0.24610263433913723
JAM,2018,3,0.24610263433913723
JAM,2019,4,0.24610263433913723
JAM,2020,5,0.24610263433913723
JAM,2021,6,0.24610263433913723
JAM,2022,7,0.24610263433913723
JAM,2023,8,0.24610263433913723
JAM,2024,9,0.24610263433913723
JAM,2025,10,0.24610263433913723
JAM,2026,11,0.24610263433913723
JAM,2027,12,0.24610263433913723
JAM,2028,13,0.24610263433913723
JAM,2029,14,0.24610263433913723
JAM,2030,15,0.24610263433913723
JAM,2031,16,0.24610263433913723
JAM,2032,17,0.24610263433913723
JAM,2033,18,0.24610263433913723
JAM,2034,19,0.24610263433913723
JAM,2035,20,0.24610263433913723
JAM,2036,21,0.24610263433913723
JAM,2037,22,0.24610263433913723
JAM,2038,23,0.24610263433913723
JAM,2039,24,0.24610263433913723
JAM,2040,25,0.24610263433913723
JAM,2041,26,0.24610263433913723
JAM,2042,27,0.24610263433913723
JAM,2043,28,0.24610263433913723
JAM,2044,29,0.24610263433913723
JAM,2045,30,0.24610263433913723
JAM,2046,31,0.24610263433913723
JAM,2047,32,0.24610263433913723
JAM,2048,33,0.24610263433913723
JAM,2049,34,0.24610263433913723
JAM,2050,35,0.24610263433913723
MEX,2010,-5,0.160602750265844
MEX,2011,-4,0.150625431460177
MEX,2012,-3,0.143378858697775
MEX,2013,-2,0.143008011408353
MEX,2014,-1,0.13705654469711
MEX,2015,0,0.1469343193058518
MEX,2016,1,0.1469343193058518
MEX,2017,2,0.1469343193058518
MEX,2018,3,0.1469343193058518
MEX,2019,4,0.1469343193058518
MEX,2020,5,0.1469343193058518
MEX,2021,6,0.1469343193058518
MEX,2022,7,0.1469343193058518
MEX,2023,8,0.1469343193058518
MEX,2024,9,0.1469343193058518
MEX,2025,10,0.1469343193058518
MEX,2026,11,0.1469343193058518
MEX,2027,12,0.1469343193058518
MEX,2028,13,0.1469343193058518
MEX,2029,14,0.1469343193058518
MEX,2030,15,0.1469343193058518
MEX,2031,16,0.1469343193058518
MEX,2032,17,0.1469343193058518
MEX,2033,18,0.1469343193058518
MEX,2034,19,0.1469343193058518
MEX,2035,20,0.1469343193058518
MEX,2036,21,0.1469343193058518
MEX,2037,22,0.1469343193058518
MEX,2038,23,0.1469343193058518
MEX,2039,24,0.1469343193058518
MEX,2040,25,0.1469343193058518
MEX,2041,26,0.1469343193058518
MEX,2042,27,0.1469343193058518
MEX,2043,28,0.1469343193058518
MEX,2044,29,0.1469343193058518
MEX,2045,30,0.1469343193058518
MEX,2046,31,0.1469343193058518
MEX,2047,32,0.1469343193058518
MEX,2048,33,0.1469343193058518
MEX,2049,34,0.1469343193058518
MEX,2050,35,0.1469343193058518
NIC,2010,-5,0.18474993167532103
NIC,2011,-4,0.176255230125523
NIC,2012,-3,0.159265690895559
NIC,2013,-2,0.154344695151224
NIC,2014,-1,0.208277103013945
NIC,2015,0,0.1765785301723144
NIC,2016,1,0.1765785301723144
NIC,2017,2,0.1765785301723144
NIC,2018,3,0.1765785301723144
NIC,2019,4,0.1765785301723144
NIC,2020,5,0.1765785301723144
NIC,2021,6,0.1765785301723144
NIC,2022,7,0.1765785301723144
NIC,2023,8,0.1765785301723144
NIC,2024,9,0.1765785301723144
NIC,2025,10,0.1765785301723144
NIC,2026,11,0.1765785301723144
NIC,2027,12,0.1765785301723144
NIC,2028,13,0.1765785301723144
NIC,2029,14,0.1765785301723144
NIC,2030,15,0.1765785301723144
NIC,2031,16,0.1765785301723144
NIC,2032,17,0.1765785301723144
NIC,2033,18,0.1765785301723144
NIC,2034,19,0.1765785301723144
NIC,2035,20,0.1765785301723144
NIC,2036,21,0.1765785301723144
NIC,2037,22,0.1765785301723144
NIC,2038,23,0.1765785301723144
NIC,2039,24,0.1765785301723144
NIC,2040,25,0.1765785301723144
NIC,2041,26,0.1765785301723144
NIC,2042,27,0.1765785301723144
NIC,2043,28,0.1765785301723144
NIC,2044,29,0.1765785301723144
NIC,2045,30,0.1765785301723144
NIC,2046,31,0.1765785301723144
NIC,2047,32,0.1765785301723144
NIC,2048,33,0.1765785301723144
NIC,2049,34,0.1765785301723144
NIC,2050,35,0.1765785301723144
PAN,2010,-5,0.143302180685358
PAN,2011,-4,0.143569419585784
PAN,2012,-3,0.138323840520749
PAN,2013,-2,0.136191114087966
PAN,2014,-1,0.142995585226661
PAN,2015,0,0.14087642802130362
PAN,2016,1,0.14087642802130362
PAN,2017,2,0.14087642802130362
PAN,2018,3,0.14087642802130362
PAN,2019,4,0.14087642802130362
PAN,2020,5,0.14087642802130362
PAN,2021,6,0.14087642802130362
PAN,2022,7,0.14087642802130362
PAN,2023,8,0.14087642802130362
PAN,2024,9,0.14087642802130362
PAN,2025,10,0.14087642802130362
PAN,2026,11,0.14087642802130362
PAN,2027,12,0.14087642802130362
PAN,2028,13,0.14087642802130362
PAN,2029,14,0.14087642802130362
PAN,2030,15,0.14087642802130362
PAN,2031,16,0.14087642802130362
PAN,2032,17,0.14087642802130362
PAN,2033,18,0.14087642802130362
PAN,2034,19,0.14087642802130362
PAN,2035,20,0.14087642802130362
PAN,2036,21,0.14087642802130362
PAN,2037,22,0.14087642802130362
PAN,2038,23,0.14087642802130362
PAN,2039,24,0.14087642802130362
PAN,2040,25,0.14087642802130362
PAN,2041,26,0.14087642802130362
PAN,2042,27,0.14087642802130362
PAN,2043,28,0.14087642802130362
PAN,2044,29,0.14087642802130362
PAN,2045,30,0.14087642802130362
PAN,2046,31,0.14087642802130362
PAN,2047,32,0.14087642802130362
PAN,2048,33,0.14087642802130362
PAN,2049,34,0.14087642802130362
PAN,2050,35,0.14087642802130362
PER,2010,-5,0.10125383115073801
PER,2011,-4,0.0580526731764526
PER,2012,-3,0.0845655382921764
PER,2013,-2,0.10490507056498
PER,2014,-1,0.10969689017189299
PER,2015,0,0.091694800671248
PER,2016,1,0.091694800671248
PER,2017,2,0.091694800671248
PER,2018,3,0.091694800671248
PER,2019,4,0.091694800671248
PER,2020,5,0.091694800671248
PER,2021,6,0.091694800671248
PER,2022,7,0.091694800671248
PER,2023,8,0.091694800671248
PER,2024,9,0.091694800671248
PER,2025,10,0.091694800671248
PER,2026,11,0.091694800671248
PER,2027,12,0.091694800671248
PER,2028,13,0.091694800671248
PER,2029,14,0.091694800671248
PER,2030,15,0.091694800671248
PER,2031,16,0.091694800671248
PER,2032,17,0.091694800671248
PER,2033,18,0.091694800671248
PER,2034,19,0.091694800671248
PER,2035,20,0.091694800671248
PER,2036,21,0.091694800671248
PER,2037,22,0.091694800671248
PER,2038,23,0.091694800671248
PER,2039,24,0.091694800671248
PER,2040,25,0.091694800671248
PER,2041,26,0.091694800671248
PER,2042,27,0.091694800671248
PER,2043,28,0.091694800671248
PER,2044,29,0.091694800671248
PER,2045,30,0.091694800671248
PER,2046,31,0.091694800671248
PER,2047,32,0.091694800671248
PER,2048,33,0.091694800671248
PER,2049,34,0.091694800671248
PER,2050,35,0.091694800671248
PRY,2010,-5,0.062312728886916
PRY,2011,-4,0.0595748373101952
PRY,2012,-3,0.0638333194986304
PRY,2013,-2,0.057832761961544195
PRY,2014,-1,0.0657899497123838
PRY,2015,0,0.06186871947393392
PRY,2016,1,0.06186871947393392
PRY,2017,2,0.06186871947393392
PRY,2018,3,0.06186871947393392
PRY,2019,4,0.06186871947393392
PRY,2020,5,0.06186871947393392
PRY,2021,6,0.06186871947393392
PRY,2022,7,0.06186871947393392
PRY,2023,8,0.06186871947393392
PRY,2024,9,0.06186871947393392
PRY,2025,10,0.06186871947393392
PRY,2026,11,0.06186871947393392
PRY,2027,12,0.06186871947393392
PRY,2028,13,0.06186871947393392
PRY,2029,14,0.06186871947393392
PRY,2030,15,0.06186871947393392
PRY,2031,16,0.06186871947393392
PRY,2032,17,0.06186871947393392
PRY,2033,18,0.06186871947393392
PRY,2034,19,0.06186871947393392
PRY,2035,20,0.06186871947393392
PRY,2036,21,0.06186871947393392
PRY,2037,22,0.06186871947393392
PRY,2038,23,0.06186871947393392
PRY,2039,24,0.06186871947393392
PRY,2040,25,0.06186871947393392
PRY,2041,26,0.06186871947393392
PRY,2042,27,0.06186871947393392
PRY,2043,28,0.06186871947393392
PRY,2044,29,0.06186871947393392
PRY,2045,30,0.06186871947393392
PRY,2046,31,0.06186871947393392
PRY,2047,32,0.06186871947393392
PRY,2048,33,0.06186871947393392
PRY,2049,34,0.06186871947393392
PRY,2050,35,0.06186871947393392
SLV,2010,-5,0.12850935828877
SLV,2011,-4,0.119677790563867
SLV,2012,-3,0.0978034311367645
SLV,2013,-2,0.0725446428571429
SLV,2014,-1,0.11328941025229
SLV,2015,0,0.10636492661976689
SLV,2016,1,0.10636492661976689
SLV,2017,2,0.10636492661976689
SLV,2018,3,0.10636492661976689
SLV,2019,4,0.10636492661976689
SLV,2020,5,0.10636492661976689
SLV,2021,6,0.10636492661976689
SLV,2022,7,0.10636492661976689
SLV,2023,8,0.10636492661976689
SLV,2024,9,0.10636492661976689
SLV,2025,10,0.10636492661976689
SLV,2026,11,0.10636492661976689
SLV,2027,12,0.10636492661976689
SLV,2028,13,0.10636492661976689
SLV,2029,14,0.10636492661976689
SLV,2030,15,0.10636492661976689
SLV,2031,16,0.10636492661976689
SLV,2032,17,0.10636492661976689
SLV,2033,18,0.10636492661976689
SLV,2034,19,0.10636492661976689
SLV,2035,20,0.10636492661976689
SLV,2036,21,0.10636492661976689
SLV,2037,22,0.10636492661976689
SLV,2038,23,0.10636492661976689
SLV,2039,24,0.10636492661976689
SLV,2040,25,0.10636492661976689
SLV,2041,26,0.10636492661976689
SLV,2042,27,0.10636492661976689
SLV,2043,28,0.10636492661976689
SLV,2044,29,0.10636492661976689
SLV,2045,30,0.10636492661976689
SLV,2046,31,0.10636492661976689
SLV,2047,32,0.10636492661976689
SLV,2048,33,0.10636492661976689
SLV,2049,34,0.10636492661976689
SLV,2050,35,0.10636492661976689
SUR,2010,-5,0.08526682134570769
SUR,2011,-4,0.0902101486417222
SUR,2012,-3,0.09026369168357
SUR,2013,-2,0.0902014652014652
SUR,2014,-1,0.08715596330275231
SUR,2015,0,0.08861961803504347
SUR,2016,1,0.08861961803504347
SUR,2017,2,0.08861961803504347
SUR,2018,3,0.08861961803504347
SUR,2019,4,0.08861961803504347
SUR,2020,5,0.08861961803504347
SUR,2021,6,0.08861961803504347
SUR,2022,7,0.08861961803504347
SUR,2023,8,0.08861961803504347
SUR,2024,9,0.08861961803504347
SUR,2025,10,0.08861961803504347
SUR,2026,11,0.08861961803504347
SUR,2027,12,0.08861961803504347
SUR,2028,13,0.08861961803504347
SUR,2029,14,0.08861961803504347
SUR,2030,15,0.08861961803504347
SUR,2031,16,0.08861961803504347
SUR,2032,17,0.08861961803504347
SUR,2033,18,0.08861961803504347
SUR,2034,19,0.08861961803504347
SUR,2035,20,0.08861961803504347
SUR,2036,21,0.08861961803504347
SUR,2037,22,0.08861961803504347
SUR,2038,23,0.08861961803504347
SUR,2039,24,0.08861961803504347
SUR,2040,25,0.08861961803504347
SUR,2041,26,0.08861961803504347
SUR,2042,27,0.08861961803504347
SUR,2043,28,0.08861961803504347
SUR,2044,29,0.08861961803504347
SUR,2045,30,0.08861961803504347
SUR,2046,31,0.08861961803504347
SUR,2047,32,0.08861961803504347
SUR,2048,33,0.08861961803504347
SUR,2049,34,0.08861961803504347
SUR,2050,35,0.08861961803504347
TTO,2010,-5,0.031231585150265202
TTO,2011,-4,0.027701778385772903
TTO,2012,-3,0.026171703898379303
TTO,2013,-2,0.0246186217780116
TTO,2014,-1,0.0230419403739262
TTO,2015,0,0.02655312591727104
TTO,2016,1,0.02655312591727104
TTO,2017,2,0.02655312591727104
TTO,2018,3,0.02655312591727104
TTO,2019,4,0.02655312591727104
TTO,2020,5,0.02655312591727104
TTO,2021,6,0.02655312591727104
TTO,2022,7,0.02655312591727104
TTO,2023,8,0.02655312591727104
TTO,2024,9,0.02655312591727104
TTO,2025,10,0.02655312591727104
TTO,2026,11,0.02655312591727104
TTO,2027,12,0.02655312591727104
TTO,2028,13,0.02655312591727104
TTO,2029,14,0.02655312591727104
TTO,2030,15,0.02655312591727104
TTO,2031,16,0.02655312591727104
TTO,2032,17,0.02655312591727104
TTO,2033,18,0.02655312591727104
TTO,2034,19,0.02655312591727104
TTO,2035,20,0.02655312591727104
TTO,2036,21,0.02655312591727104
TTO,2037,22,0.02655312591727104
TTO,2038,23,0.02655312591727104
TTO,2039,24,0.02655312591727104
TTO,2040,25,0.02655312591727104
TTO,2041,26,0.02655312591727104
TTO,2042,27,0.02655312591727104
TTO,2043,28,0.02655312591727104
TTO,2044,29,0.02655312591727104
TTO,2045,30,0.02655312591727104
TTO,2046,31,0.02655312591727104
TTO,2047,32,0.02655312591727104
TTO,2048,33,0.02655312591727104
TTO,2049,34,0.02655312591727104
TTO,2050,35,0.02655312591727104
URY,2010,-5,0.110231923601637
URY,2011,-4,0.124419953596288
URY,2012,-3,0.121921298480702
URY,2013,-2,0.109929686160178
URY,2014,-1,0.0962735305416827
URY,2015,0,0.11255527847609752
URY,2016,1,0.11255527847609752
URY,2017,2,0.11255527847609752
URY,2018,3,0.11255527847609752
URY,2019,4,0.11255527847609752
URY,2020,5,0.11255527847609752
URY,2021,6,0.11255527847609752
URY,2022,7,0.11255527847609752
URY,2023,8,0.11255527847609752
URY,2024,9,0.11255527847609752
URY,2025,10,0.11255527847609752
URY,2026,11,0.11255527847609752
URY,2027,12,0.11255527847609752
URY,2028,13,0.11255527847609752
URY,2029,14,0.11255527847609752
URY,2030,15,0.11255527847609752
URY,2031,16,0.11255527847609752
URY,2032,17,0.11255527847609752
URY,2033,18,0.11255527847609752
URY,2034,19,0.11255527847609752
URY,2035,20,0.11255527847609752
URY,2036,21,0.11255527847609752
URY,2037,22,0.11255527847609752
URY,2038,23,0.11255527847609752
URY,2039,24,0.11255527847609752
URY,2040,25,0.11255527847609752
URY,2041,26,0.11255527847609752
URY,2042,27,0.11255527847609752
URY,2043,28,0.11255527847609752
URY,2044,29,0.11255527847609752
URY,2045,30,0.11255527847609752
URY,2046,31,0.11255527847609752
URY,2047,32,0.11255527847609752
URY,2048,33,0.11255527847609752
URY,2049,34,0.11255527847609752
URY,2050,35,0.11255527847609752
VEN,2010,-5,0.2011163363073
VEN,2011,-4,0.204584566085401
VEN,2012,-3,0.206431407363567
VEN,2013,-2,0.20807892172783402
VEN,2014,-1,0.360447182795362
VEN,2015,0,0.23613168285589278
VEN,2016,1,0.23613168285589278
VEN,2017,2,0.23613168285589278
VEN,2018,3,0.23613168285589278
VEN,2019,4,0.23613168285589278
VEN,2020,5,0.23613168285589278
VEN,2021,6,0.23613168285589278
VEN,2022,7,0.23613168285589278
VEN,2023,8,0.23613168285589278
VEN,2024,9,0.23613168285589278
VEN,2025,10,0.23613168285589278
VEN,2026,11,0.23613168285589278
VEN,2027,12,0.23613168285589278
VEN,2028,13,0.23613168285589278
VEN,2029,14,0.23613168285589278
VEN,2030,15,0.23613168285589278
VEN,2031,16,0.23613168285589278
VEN,2032,17,0.23613168285589278
VEN,2033,18,0.23613168285589278
VEN,2034,19,0.23613168285589278
VEN,2035,20,0.23613168285589278
VEN,2036,21,0.23613168285589278
VEN,2037,22,0.23613168285589278
VEN,2038,23,0.23613168285589278
VEN,2039,24,0.23613168285589278
VEN,2040,25,0.23613168285589278
VEN,2041,26,0.23613168285589278
VEN,2042,27,0.23613168285589278
VEN,2043,28,0.23613168285589278
VEN,2044,29,0.23613168285589278
VEN,2045,30,0.23613168285589278
VEN,2046,31,0.23613168285589278
VEN,2047,32,0.23613168285589278
VEN,2048,33,0.23613168285589278
VEN,2049,34,0.23613168285589278
VEN,2050,35,0.23613168285589278
