variable,sum_group,uniform_scaling_q,calib_scalar_min,calib_scalar_max,calib,var_in_01_interval
qty_waso_annual_waste_collected_tonne_per_vehicle,,,1,1,0,0
ef_trww_treated_aerobic_g_n2o_per_g_n,,,0.01,2.8125,1,0
ef_trww_treated_anaerobic_g_n2o_per_g_n,,,0,2,1,0
ef_trww_treated_latrine_improved_g_n2o_per_g_n,,,0,2,1,0
ef_trww_treated_latrine_unimproved_g_n2o_per_g_n,,,0,2,1,0
ef_trww_treated_septic_g_n2o_per_g_n,,,0,1,1,0
ef_trww_untreated_no_sewerage_g_n2o_per_g_n,,,0.042,7.58,1,0
ef_trww_untreated_with_sewerage_g_n2o_per_g_n,,,0.042,7.58,1,0
ef_waso_biogas_kg_ch4_per_kg_food,,,0.57,1.43,1,0
ef_waso_biogas_kg_ch4_per_kg_yard,,,0.57,1.43,1,0
ef_waso_compost_kg_ch4_per_kg_food,,,0.57,1.43,1,0
ef_waso_compost_kg_ch4_per_kg_yard,,,0.57,1.43,1,0
ef_waso_compost_kg_n2o_per_kg_food,,,0.57,1.43,1,0
ef_waso_compost_kg_n2o_per_kg_yard,,,0.57,1.43,1,0
ef_waso_incineration_tonne_n2o_per_tonne_chemical_industrial,,,0.8,1.2,1,0
ef_waso_incineration_tonne_n2o_per_tonne_food,,,0.8,1.2,1,0
ef_waso_incineration_tonne_n2o_per_tonne_glass,,,0.8,1.2,1,0
ef_waso_incineration_tonne_n2o_per_tonne_metal,,,0.8,1.2,1,0
ef_waso_incineration_tonne_n2o_per_tonne_nappies,,,0.8,1.2,1,0
ef_waso_incineration_tonne_n2o_per_tonne_other,,,0.8,1.2,1,0
ef_waso_incineration_tonne_n2o_per_tonne_paper,,,0.8,1.2,1,0
ef_waso_incineration_tonne_n2o_per_tonne_plastic,,,0.8,1.2,1,0
ef_waso_incineration_tonne_n2o_per_tonne_rubber_leather,,,0.8,1.2,1,0
ef_waso_incineration_tonne_n2o_per_tonne_sludge,,,0.95,1.05,1,0
ef_waso_incineration_tonne_n2o_per_tonne_textiles,,,0.8,1.2,1,0
ef_waso_incineration_tonne_n2o_per_tonne_wood,,,0.8,1.2,1,0
ef_waso_incineration_tonne_n2o_per_tonne_yard,,,0.8,1.2,1,0
ef_waso_incineration_kg_ch4_per_kg_isw,,,0.2,2,1,0
ef_waso_incineration_kg_ch4_per_kg_msw,,,0.2,2,1,0
elasticity_waso_msw_to_gdppc_chemical_industrial,,,0.5,2,1,0
elasticity_waso_msw_to_gdppc_food,,,0.5,2,1,0
elasticity_waso_msw_to_gdppc_glass,,,0.5,2,1,0
elasticity_waso_msw_to_gdppc_metal,,,0.5,2,1,0
elasticity_waso_msw_to_gdppc_nappies,,,0.5,2,1,0
elasticity_waso_msw_to_gdppc_other,,,0.5,2,1,0
elasticity_waso_msw_to_gdppc_paper,,,0.5,2,1,0
elasticity_waso_msw_to_gdppc_plastic,,,0.5,2,1,0
elasticity_waso_msw_to_gdppc_rubber_leather,,,0.5,2,1,0
elasticity_waso_msw_to_gdppc_sludge,,,0.5,2,1,0
elasticity_waso_msw_to_gdppc_textiles,,,0.5,2,1,0
elasticity_waso_msw_to_gdppc_wood,,,0.5,2,1,0
elasticity_waso_msw_to_gdppc_yard,,,0.5,2,1,0
frac_sludge_compliant_treated_septic,,,0.2,1.8,1,1
frac_trww_tow_removed_treated_aerobic,,,0.349,1.325,1,1
frac_trww_tow_removed_treated_anaerobic,,,0.349,1.325,1,1
frac_trww_tow_removed_treated_latrine_improved,,,0.117,2.326,1,1
frac_trww_tow_removed_treated_latrine_unimproved,,,0.117,2.326,1,1
frac_trww_tow_removed_treated_septic,,,0.8,1.2,1,1
frac_trww_tow_removed_untreated_no_sewerage,,,0.8,1.2,1,1
frac_trww_tow_removed_untreated_with_sewerage,,,0.8,1.2,1,1
frac_wali_protein_in_diet_with_red_meat,,,1,1,1,1
frac_wali_protein_in_diet_without_red_meat,,,1,1,1,1
frac_wali_ww_domestic_rural_treatment_path_aerobic,1,,0.7,1.3,1,1
frac_wali_ww_domestic_rural_treatment_path_anaerobic,1,,0.7,1.3,1,1
frac_wali_ww_domestic_rural_treatment_path_latrine_improved,1,,0.7,1.3,1,1
frac_wali_ww_domestic_rural_treatment_path_latrine_unimproved,1,,0.7,1.3,1,1
frac_wali_ww_domestic_rural_treatment_path_septic,1,,0.7,1.3,1,1
frac_wali_ww_domestic_rural_treatment_path_untreated_no_sewerage,1,,0.7,1.3,1,1
frac_wali_ww_domestic_rural_treatment_path_untreated_with_sewerage,1,,0.7,1.3,1,1
frac_wali_ww_domestic_urban_treatment_path_aerobic,2,,0.7,1.3,1,1
frac_wali_ww_domestic_urban_treatment_path_anaerobic,2,,0.7,1.3,1,1
frac_wali_ww_domestic_urban_treatment_path_latrine_improved,2,,0.7,1.3,1,1
frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved,2,,0.7,1.3,1,1
frac_wali_ww_domestic_urban_treatment_path_septic,2,,0.7,1.3,1,1
frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage,2,,0.7,1.3,1,1
frac_wali_ww_domestic_urban_treatment_path_untreated_with_sewerage,2,,0.7,1.3,1,1
frac_wali_ww_industrial_treatment_path_aerobic,3,,0.7,1.3,1,1
frac_wali_ww_industrial_treatment_path_anaerobic,3,,0.7,1.3,1,1
frac_wali_ww_industrial_treatment_path_latrine_improved,3,,0.7,1.3,1,1
frac_wali_ww_industrial_treatment_path_latrine_unimproved,3,,0.7,1.3,1,1
frac_wali_ww_industrial_treatment_path_septic,3,,0.7,1.3,1,1
frac_wali_ww_industrial_treatment_path_untreated_no_sewerage,3,,0.7,1.3,1,1
frac_wali_ww_industrial_treatment_path_untreated_with_sewerage,3,,0.7,1.3,1,1
frac_waso_compost_methane_flared,,,0,2,1,1
frac_waso_isw_incinerated_recovered_for_energy,,,1,1,1,1
frac_waso_msw_incinerated_recovered_for_energy,,,1,1,1,1
frac_waso_initial_composition_ind_chemical_industrial,4,,0.7,1.3,1,1
frac_waso_initial_composition_ind_food,4,,0.7,1.3,1,1
frac_waso_initial_composition_ind_glass,4,,0.7,1.3,1,1
frac_waso_initial_composition_ind_metal,4,,0.7,1.3,1,1
frac_waso_initial_composition_ind_nappies,4,,0.7,1.3,1,1
frac_waso_initial_composition_ind_other,4,,0.7,1.3,1,1
frac_waso_initial_composition_ind_paper,4,,0.7,1.3,1,1
frac_waso_initial_composition_ind_plastic,4,,0.7,1.3,1,1
frac_waso_initial_composition_ind_rubber_leather,4,,0.7,1.3,1,1
frac_waso_initial_composition_ind_sludge,4,,0.7,1.3,1,1
frac_waso_initial_composition_ind_textiles,4,,0.7,1.3,1,1
frac_waso_initial_composition_ind_wood,4,,0.7,1.3,1,1
frac_waso_initial_composition_ind_yard,4,,0.7,1.3,1,1
frac_waso_initial_composition_mun_chemical_industrial,5,,0.7,1.3,1,1
frac_waso_initial_composition_mun_food,5,,0.7,1.3,1,1
frac_waso_initial_composition_mun_glass,5,,0.7,1.3,1,1
frac_waso_initial_composition_mun_metal,5,,0.7,1.3,1,1
frac_waso_initial_composition_mun_nappies,5,,0.7,1.3,1,1
frac_waso_initial_composition_mun_other,5,,0.7,1.3,1,1
frac_waso_initial_composition_mun_paper,5,,0.7,1.3,1,1
frac_waso_initial_composition_mun_plastic,5,,0.7,1.3,1,1
frac_waso_initial_composition_mun_rubber_leather,5,,0.7,1.3,1,1
frac_waso_initial_composition_mun_sludge,5,,0.7,1.3,1,1
frac_waso_initial_composition_mun_textiles,5,,0.7,1.3,1,1
frac_waso_initial_composition_mun_wood,5,,0.7,1.3,1,1
frac_waso_initial_composition_mun_yard,5,,0.7,1.3,1,1
frac_waso_landfill_gas_captured,,,1,1,1,1
frac_waso_lgc_recovered_for_energy,,,1,1,1,1
frac_waso_non_recycled_incinerated,6,,1,1,1,1
frac_waso_non_recycled_landfilled,6,,1,1,1,1
frac_waso_non_recycled_open_dump,6,,1,1,1,1
frac_waso_recycled_glass,,,1,1,1,1
frac_waso_recycled_metal,,,1,1,1,1
frac_waso_recycled_paper,,,1,1,1,1
frac_waso_recycled_plastic,,,1,1,1,1
frac_waso_recycled_rubber_leather,,,1,1,1,1
frac_waso_recycled_textiles,,,1,1,1,1
frac_waso_recycled_wood,,,1,1,1,1
gasrf_waso_biogass,,,0.947368421,1.052631579,1,1
gasrf_waso_landfill_to_ch4,,,0.947368421,1.052631579,1,1
logelasticity_wali_qty_prod_to_gdp_per_capita,,,0.8,1.2,1,0
mcf_trww_treated_aerobic,,,0,2.67,1,1
mcf_trww_treated_anaerobic,,,1,1.25,1,1
mcf_trww_treated_latrine_improved,,,0.14,2.86,1,1
mcf_trww_treated_latrine_unimproved,,,0.14,2.86,1,1
mcf_trww_treated_septic,,,1,1,1,1
mcf_trww_untreated_no_sewerage,,,0,2.67,1,1
mcf_trww_untreated_with_sewerage,,,0.8,1.2,1,1
mcf_waso_average_open_dump,,,0.76,1.66,1,1
mcf_waso_average_landfilled,,,0.76,1.66,1,1
physparam_krem_sludge_factor_treated_aerobic,,,0.46,1.39,1,0
physparam_wali_bo_tonne_ch4_tonne_bod,,,0.8,1.2,1,0
physparam_wali_bo_tonne_ch4_tonne_cod,,,0.8,1.2,1,0
physparam_wali_daily_kg_bod_per_capita,,,0.78,1.22,1,0
physparam_wali_tonne_cod_per_mmm_gdp,,,0.37,2.17,1,0
physparam_wali_tow_dom_generation_correction_factor,,,1,1,1,0
physparam_waso_k_chemical_industrial,,,0.85,1.17,1,0
physparam_waso_k_food,,,0.53,1.48,1,0
physparam_waso_k_glass,,,0,0,0,0
physparam_waso_k_metal,,,0,0,0,0
physparam_waso_k_nappies,,,0.78,1.15,1,0
physparam_waso_k_other,,,0,0,0,0
physparam_waso_k_paper,,,0.83,1.23,1,0
physparam_waso_k_plastic,,,0,0,0,0
physparam_waso_k_rubber_leather,,,0,0,0,0
physparam_waso_k_sludge,,,0.53,1.48,1,0
physparam_waso_k_textiles,,,0.83,1.23,1,0
physparam_waso_k_wood,,,0.71,1.43,1,0
physparam_waso_k_yard,,,0.78,1.15,1,0
qty_wali_m3_ww_domestic_rural_per_capita,,,0.8,1.2,1,0
qty_wali_m3_ww_domestic_urban_per_capita,,,0.8,1.2,1,0
qty_wali_m3_ww_industrial_per_gdp,,,0.8,1.2,1,0
qty_waso_industrial_waste_kt_per_mmm_gdp,,,0.1,10,1,0
qty_waso_initial_municipal_waste_tonne_per_capita,,,0.7,1.3,1,0
vkmt_per_vehicle_waso,,,1,1,1,0
elasticity_protein_in_diet_to_gdppc,,,0.8,1.2,1,0
qty_protein_per_capita_kg,,,0.8,1.2,1,0
param_wali_f_noncon,,,1,1,0,0
param_wali_n_hh_scalar,,,1,1,0,0
frac_trww_nitrogen_removed_treated_aerobic,,,0.116,1.977,1,1
frac_trww_nitrogen_removed_treated_anaerobic,,,0.116,1.977,1,1
frac_trww_nitrogen_removed_treated_latrine_improved,,,0.583,1.75,1,1
frac_trww_nitrogen_removed_treated_latrine_unimproved,,,0.583,1.75,1,1
frac_trww_nitrogen_removed_treated_septic,,,0.67,1.67,1,1
frac_trww_nitrogen_removed_untreated_no_sewerage,,,1,1,0,0
frac_trww_nitrogen_removed_untreated_with_sewerage,,,1,1,0,0
density_wali_kg_n_per_m3_ww_industrial,,,0.2,5,1,0
factor_waso_waste_per_capita_scalar_chemical_industrial,,,0.7,1,1,0
factor_waso_waste_per_capita_scalar_food,,,0.7,1,1,0
factor_waso_waste_per_capita_scalar_glass,,,0.7,1,1,0
factor_waso_waste_per_capita_scalar_metal,,,0.7,1,1,0
factor_waso_waste_per_capita_scalar_nappies,,,0.7,1,1,0
factor_waso_waste_per_capita_scalar_other,,,0.7,1,1,0
factor_waso_waste_per_capita_scalar_paper,,,0.7,1,1,0
factor_waso_waste_per_capita_scalar_plastic,,,0.7,1,1,0
factor_waso_waste_per_capita_scalar_rubber_leather,,,0.7,1,1,0
factor_waso_waste_per_capita_scalar_sludge,,,0.7,1,1,0
factor_waso_waste_per_capita_scalar_textiles,,,0.7,1,1,0
factor_waso_waste_per_capita_scalar_wood,,,0.7,1,1,0
factor_waso_waste_per_capita_scalar_yard,,,0.7,1,1,0
frac_waso_compost_food,,,0.3,5,1,1
frac_waso_compost_yard,,,0.3,5,1,1
frac_waso_biogas_food,,,0.3,5,1,1
frac_waso_biogas_yard,,,0.3,5,1,1
historical_back_projection_growth_rate,,,0.5,2,0,0